locus_tag	gene_name	gene_product	chrom	start0	end0	strand	gene_len	Illumina_sense_avg_depth	Illumina_antisense_avg_depth	Illumina_sense_TPM	Illumina_antisense_TPM	ONT_sense_avg_depth	ONT_antisense_avg_depth	ONT_sense_TPM	ONT_antisense_TPM
JCVISYN3A_0304	cdsA	Phosphatidate cytidylyltransferase	CP016816.2	187478	188507	-	1029	125.2643	2.4159	68.5517	1.3221	93.7648	2.5870	395.8143	10.9205
JCVISYN3A_0305		Uncharacterized metallopeptidase	CP016816.2	188705	189782	-	1077	1500.2145	9.9099	821.0022	5.4233	946.8997	9.7465	3997.1966	41.1435
JCVISYN3A_0308	trpRS	Tryptophan--tRNA ligase	CP016816.2	190226	191237	+	1011	13.5955	0.5005	7.4402	0.2739	28.5658	0.3808	120.5862	1.6075
JCVISYN3A_0314	ecfS	Uncharacterized ECF transporter S component	CP016816.2	191372	192107	+	735	1130.1592	11.0190	618.4870	6.0302	249.7211	0.2163	1054.1605	0.9132
JCVISYN3A_0315		Uncharacterized protein	CP016816.2	192228	192381	+	153	133.3529	3.8627	72.9783	2.1139	103.1307	0.0000	435.3510	0.0000
JCVISYN3A_0316	tkt	Transketolase	CP016816.2	192439	194410	+	1971	691.3658	16.0954	378.3545	8.8083	179.9290	3.1106	759.5434	13.1310
JCVISYN3A_0317		Uncharacterized protein	CP016816.2	194425	194671	+	246	687.5610	19.6301	376.2723	10.7427	268.6057	7.0976	1133.8790	29.9613
JCVISYN3A_0325		Uncharacterized protein	CP016816.2	196093	197593	+	1500	55.3487	3.5513	30.2899	1.9435	38.4400	2.2873	162.2688	9.6556
JCVISYN3A_0326		Uncharacterized protein	CP016816.2	197610	198372	+	762	56.1955	0.8675	30.7534	0.4747	29.1811	0.0787	123.1837	0.3324
JCVISYN3A_0327	scpA	Chromosome segregation protein A	CP016816.2	198381	199218	+	837	86.7204	1.6870	47.4583	0.9232	86.2616	0.0000	364.1407	0.0000
JCVISYN3A_0328	scpB	Chromosome segregation protein B	CP016816.2	199201	199831	+	630	176.0000	2.1762	96.3172	1.1909	57.5794	0.0000	243.0627	0.0000
JCVISYN3A_0329	rluB	Uncharacterized pseudouridine synthase	CP016816.2	199898	200657	+	759	241.2345	1.5336	132.0172	0.8393	236.9447	0.4414	1000.2267	1.8632
JCVISYN3A_0330	dgk	Deoxyguanosine kinase	CP016816.2	200666	201284	+	618	272.4045	0.9239	149.0752	0.5056	244.1262	2.7201	1030.5426	11.4823
JCVISYN3A_0332		Uncharacterized protein	CP016816.2	201394	202222	+	828	88.8671	0.3696	48.6331	0.2022	140.2198	2.9589	591.9171	12.4907
JCVISYN3A_0338		Uncharacterized lipoprotein	CP016816.2	202896	203616	+	720	5212.1694	10.6278	2852.3939	5.8161	2103.2389	4.9389	8878.5107	20.8488
JCVISYN3A_0344	ppa	Inorganic diphosphatase	CP016816.2	204073	204634	-	561	1897.2692	7.1586	1038.2930	3.9176	1855.9412	0.0000	7834.5801	0.0000
JCVISYN3A_0345	ecfS	Uncharacterized ECF transporter S component	CP016816.2	204772	205663	+	891	225.9585	3.9697	123.6573	2.1724	87.7946	4.4254	370.6119	18.6810
JCVISYN3A_0346		Uncharacterized protein	CP016816.2	205728	206424	+	696	28.0603	0.3190	15.3562	0.1746	61.6925	0.2399	260.4259	1.0129
JCVISYN3A_0347	cmk	Cytidylate kinase	CP016816.2	206432	207095	+	663	69.5354	0.9970	38.0537	0.5456	71.4419	1.5626	301.5815	6.5963
JCVISYN3A_0348	engA	Ribosome biogenesis GTPase	CP016816.2	207101	208409	+	1308	83.2706	1.3570	45.5704	0.7426	75.4358	0.7576	318.4409	3.1983
JCVISYN3A_0350	hupA	DNA-binding protein	CP016816.2	208463	208736	+	273	312.9963	1.1941	171.2893	0.6535	154.2161	1.4872	651.0004	6.2779
JCVISYN3A_0352		Uncharacterized protein	CP016816.2	208790	209339	+	549	17.9927	0.1512	9.8466	0.0827	20.4991	1.2805	86.5339	5.4055
JCVISYN3A_0353		Uncharacterized protein	CP016816.2	209402	209780	+	378	66.4286	2.1323	36.3535	1.1669	311.2698	0.2169	1313.9794	0.9157
JCVISYN3A_0356	rnpB		CP016816.2	210197	210537	+	340	146632.9912	101.1853	80245.8665	55.3743	4175.2647	0.0000	17625.2601	0.0000
JCVISYN3A_0359		Ribonuclease Y	CP016816.2	210711	212241	+	1530	2513.2758	11.5046	1375.4067	6.2960	118.1627	0.5412	498.8065	2.2845
JCVISYN3A_0360	ffh	Signal recognition particle protein	CP016816.2	212274	213618	+	1344	3924.9963	8.1034	2147.9800	4.4347	154.7969	0.5565	653.4520	2.3494
JCVISYN3A_0361	rlmH	23S rRNA (pseudouridine(1915)-N3)-methyltransferase	CP016816.2	213621	214089	+	468	726.2073	2.7778	397.4217	1.5202	112.8974	2.7756	476.5798	11.7170
JCVISYN3A_0362	rpsP	30S ribosomal protein S16	CP016816.2	214179	214458	+	279	4451.7634	5.8100	2436.2568	3.1796	540.5986	0.0000	2282.0566	0.0000
JCVISYN3A_0363	rimM	16S rRNA processing protein	CP016816.2	214489	214984	+	495	1227.4848	2.8101	671.7491	1.5378	596.0303	1.5192	2516.0534	6.4130
JCVISYN3A_0364	trmD	tRNA (guanosine(37)-N1)-methyltransferase	CP016816.2	214985	215708	+	723	2921.8575	7.0415	1599.0057	3.8535	391.0705	0.9682	1650.8462	4.0871
JCVISYN3A_0365	rplS	50S ribosomal protein L19	CP016816.2	215709	216093	+	384	4163.8542	5.9818	2278.6965	3.2736	417.5625	1.8568	1762.6781	7.8381
JCVISYN3A_0366	ylqF%3B rbgA	L16-binding dependent 50S subunit-maturation GTPase	CP016816.2	216191	217142	+	951	225.6709	2.2345	123.4999	1.2228	327.8728	1.6004	1384.0662	6.7559
JCVISYN3A_0371	ywjA	Flippase A	CP016816.2	217522	219394	+	1872	186.8499	4.0817	102.2548	2.2338	38.9712	2.2746	164.5109	9.6018
JCVISYN3A_0372	ywjA	Flippase B	CP016816.2	219409	221263	+	1854	188.2934	2.6839	103.0448	1.4688	54.9968	2.4331	232.1607	10.2710
JCVISYN3A_0373		Uncharacterized protein	CP016816.2	221296	222904	+	1608	65.0274	2.0019	35.5867	1.0955	48.7736	1.9838	205.8906	8.3744
JCVISYN3A_0374	tRNA-Arg		CP016816.2	222959	223036	+	77	3108.8831	7.0390	1701.3567	3.8521	34.3247	0.1688	144.8965	0.7127
JCVISYN3A_0375		Uncharacterized protein	CP016816.2	223089	223830	+	741	494.5924	1.6815	270.6690	0.9202	72.3090	0.8462	305.2419	3.5719
JCVISYN3A_0376		Uncharacterized protein	CP016816.2	223801	224146	+	345	254.9739	2.2725	139.5361	1.2436	133.9014	0.4261	565.2451	1.7987
JCVISYN3A_0377	obgE	Ribosome GTPase	CP016816.2	224216	225518	+	1302	1606.3088	8.6920	879.0630	4.7568	103.7711	0.5952	438.0544	2.5127
JCVISYN3A_0378	nadE	NAD(+) synthase	CP016816.2	225519	226257	+	738	809.5244	4.0393	443.0175	2.2105	77.5271	0.1843	327.2691	0.7779
JCVISYN3A_0379		Uncharacterized protein	CP016816.2	226273	226552	+	279	282.0753	0.7706	154.3675	0.4217	86.6129	0.8495	365.6235	3.5859
JCVISYN3A_0380	nadD	Nicotinate (nicotinamide) nucleotide adenylyltransferase	CP016816.2	226569	227667	+	1098	293.5392	1.3397	160.6412	0.7332	93.8370	2.9199	396.1189	12.3257
JCVISYN3A_0381	mtnN	5'-Methylthioadenosine nucleosidase	CP016816.2	227671	228331	+	660	437.4258	1.3758	239.3841	0.7529	85.6258	0.3500	361.4564	1.4775
JCVISYN3A_0382	dnk	Deoxynucleoside kinase	CP016816.2	228340	228979	+	639	112.9296	1.4304	61.8015	0.7828	114.1784	2.2050	481.9872	9.3081
JCVISYN3A_0387	mnmA	tRNA 2-thiouridine(34) synthase	CP016816.2	229207	230335	+	1128	62.3777	1.6888	34.1366	0.9242	57.8395	0.4424	244.1610	1.8674
JCVISYN3A_0388		Uncharacterized protein	CP016816.2	230381	230999	+	618	398.2136	3.0324	217.9250	1.6595	355.3981	0.0000	1500.2601	0.0000
JCVISYN3A_0389		Uncharacterized protein	CP016816.2	231074	233219	+	2145	77.9734	2.0998	42.6715	1.1491	82.5711	0.6107	348.5616	2.5781
JCVISYN3A_0390	fmt	Methionyl-tRNA formyltransferase	CP016816.2	233208	234162	+	954	307.3396	4.9266	168.1936	2.6961	62.1509	1.6824	262.3610	7.1020
JCVISYN3A_0391	efp	Elongation factor P	CP016816.2	234248	234803	+	555	1639.7099	12.5964	897.3420	6.8935	196.9640	1.3748	831.4541	5.8034
JCVISYN3A_0392		Uncharacterized protein	CP016816.2	234820	235123	+	303	594.4389	4.6634	325.3106	2.5521	417.4884	1.9538	1762.3655	8.2477
JCVISYN3A_0394	lon	Endopeptidase La	CP016816.2	235261	237622	+	2361	862.2474	33.5608	471.8705	18.3664	1040.6222	2.6387	4392.8321	11.1389
JCVISYN3A_0398		Uncharacterized lipoprotein	CP016816.2	237759	240222	-	2463	19.9005	17.8295	10.8907	9.7573	32.3236	16.2554	136.4492	68.6197
JCVISYN3A_0399		Uncharacterized efflux ABC transporter permease	CP016816.2	240371	245633	+	5262	163.6918	3.9215	89.5814	2.1461	203.7866	2.2132	860.2548	9.3428
JCVISYN3A_0400		Uncharacterized protease	CP016816.2	245680	246232	+	552	330.2554	2.0489	180.7345	1.1213	362.4221	0.3678	1529.9111	1.5524
JCVISYN3A_0401		Uncharacterized peptidase	CP016816.2	246266	248114	+	1848	9.2695	1.2024	5.0728	0.6580	17.0487	1.3826	71.9686	5.8363
JCVISYN3A_0402	ybeY	rRNA maturation RNase	CP016816.2	248118	248613	+	495	43.1232	1.0384	23.5995	0.5683	33.6727	0.9212	142.1444	3.8888
JCVISYN3A_0403	era	Ribosome GTPase	CP016816.2	248616	249522	+	906	91.0574	1.5949	49.8318	0.8728	62.7439	0.4084	264.8642	1.7240
JCVISYN3A_0404	recO	DNA repair protein	CP016816.2	249521	250271	+	750	58.8347	0.9440	32.1977	0.5166	40.6853	0.1200	171.7471	0.5066
JCVISYN3A_0405	glyRS	Glycine--tRNA ligase	CP016816.2	250334	251705	+	1371	523.4530	1.7046	286.4631	0.9329	114.6178	1.2312	483.8420	5.1974
JCVISYN3A_0406	dnaG	DNA primase	CP016816.2	251739	253578	+	1839	168.8891	0.4856	92.4257	0.2657	64.9092	1.4758	274.0045	6.2299
JCVISYN3A_0407	rpoD	RNA polymerase subunit sigma	CP016816.2	253580	255101	+	1521	1355.2551	4.4918	741.6722	2.4582	186.1354	0.3642	785.7431	1.5376
JCVISYN3A_0408	trmK%3B yqfN	Uncharacterized methyltransferase	CP016816.2	255100	255778	+	678	184.1622	1.1667	100.7840	0.6385	133.2994	0.8864	562.7037	3.7419
JCVISYN3A_0409		Uncharacterized protein	CP016816.2	255764	256541	+	777	105.6898	1.3784	57.8395	0.7543	31.4723	0.6062	132.8558	2.5589
JCVISYN3A_0410		Uncharacterized helicase	CP016816.2	256549	257911	+	1362	283.0837	4.3333	154.9194	2.3714	27.4148	0.9053	115.7276	3.8215
JCVISYN3A_0411		Uncharacterized protein	CP016816.2	257950	259465	+	1515	767.5393	13.3941	420.0409	7.3300	60.8132	2.2363	256.7139	9.4402
JCVISYN3A_0412		Uncharacterized protein	CP016816.2	259580	263735	+	4155	449.2686	1.7324	245.8652	0.9481	112.6286	1.3290	475.4451	5.6102
JCVISYN3A_0413	apt	Adenine phosphoribosyltransferase	CP016816.2	263746	264259	+	513	1323.6901	5.2086	724.3981	2.8504	408.5789	3.8655	1724.7554	16.3176
JCVISYN3A_0414	relA	Guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase	CP016816.2	264341	266606	+	2265	371.4026	1.6203	203.2525	0.8867	275.3934	6.2609	1162.5323	26.4296
JCVISYN3A_0415	smc	Chromosome segregation protein	CP016816.2	266642	269609	-	2967	428.0212	10.4810	234.2374	5.7358	89.9545	6.1496	379.7296	25.9598
JCVISYN3A_0416		Uncharacterized protein	CP016816.2	269914	270304	-	390	89.3974	2.5769	48.9233	1.4102	227.7513	0.3308	961.4182	1.3963
JCVISYN3A_0418		Ribonuclease III	CP016816.2	270448	271147	-	699	561.5522	1.4907	307.3131	0.8158	166.2833	1.2961	701.9401	5.4715
JCVISYN3A_0419	plsX	Phosphate acyltransferase	CP016816.2	271136	272141	-	1005	529.4239	2.6657	289.7307	1.4588	136.2697	0.9124	575.2421	3.8517
JCVISYN3A_0420	fakA	Fatty acid kinase subunit A	CP016816.2	272173	273817	-	1644	842.1971	2.6119	460.8979	1.4294	328.4592	0.8224	1386.5419	3.4716
JCVISYN3A_0421		Uncharacterized protein	CP016816.2	273841	274153	-	312	825.5288	0.9583	451.7761	0.5245	407.4199	1.3205	1719.8625	5.5743
JCVISYN3A_0422	rpmB	50S ribosomal protein L28	CP016816.2	274321	274519	+	198	3935.4545	4.4091	2153.7033	2.4129	979.8737	0.9747	4136.3915	4.1148
JCVISYN3A_0423	tRNA-Leu		CP016816.2	274582	274667	+	85	1386.2706	3.4471	758.6457	1.8864	514.0941	0.6588	2170.1720	2.7811
JCVISYN3A_0424		Uncharacterized protein	CP016816.2	274749	275193	+	444	18.2207	3.3851	9.9714	1.8525	12.9550	0.0000	54.6874	0.0000
JCVISYN3A_0425	pstS	Phosphate ABC transporter substrate-binding protein	CP016816.2	275281	276412	+	1131	83.0292	1.6826	45.4383	0.9208	66.2263	0.0000	279.5647	0.0000
JCVISYN3A_0426	pstA	Phosphate ABC transporter permease	CP016816.2	276463	278554	+	2091	126.5074	1.5791	69.2320	0.8642	33.9584	0.8847	143.3503	3.7348
JCVISYN3A_0427	pstB	Phosphate ABC transporter ATP-binding protein	CP016816.2	278546	279356	+	810	214.0272	0.6938	117.1278	0.3797	40.0580	0.4222	169.0990	1.7823
JCVISYN3A_0428	phoU	Phosphate transport system regulatory protein	CP016816.2	279364	280039	+	675	187.4978	1.3170	102.6094	0.7208	46.3022	0.1822	195.4580	0.7692
JCVISYN3A_0429	ftsY	Signal recognition particle-docking protein	CP016816.2	280105	281335	+	1230	609.3496	2.7675	333.4706	1.5145	83.6415	0.0000	353.0800	0.0000
JCVISYN3A_0430		Uncharacterized DNA-binding protein	CP016816.2	281318	281660	+	342	636.7047	1.7836	348.4408	0.9761	79.4327	0.2749	335.3136	1.1603
JCVISYN3A_0431		Uncharacterized metallophosphoesterase	CP016816.2	281647	282421	+	774	817.2597	1.9897	447.2507	1.0889	166.6873	0.6111	703.6459	2.5797
JCVISYN3A_0432	metK	Methionine adenosyltransferase	CP016816.2	282630	283794	+	1164	150.8127	5.3222	82.5332	2.9126	16.5369	0.0000	69.8082	0.0000
JCVISYN3A_0433	cutC	Uncharacterized protein	CP016816.2	283784	284468	+	684	117.1374	2.7208	64.1042	1.4890	86.2924	2.1827	364.2705	9.2141
JCVISYN3A_0434	rlmFO	23S rRNA (uridine(1939)-m5)-methyltransferase	CP016816.2	284460	285777	+	1317	206.6112	5.1602	113.0694	2.8240	36.2635	6.1131	153.0809	25.8057
JCVISYN3A_0435	manA	Mannose-6-phosphate isomerase	CP016816.2	285802	286732	+	930	202.4742	3.8011	110.8053	2.0802	41.9935	1.4753	177.2695	6.2276
JCVISYN3A_0437	yhaM	Putative 3'-5' exoribonuclease	CP016816.2	286804	287785	+	981	2305.9735	5.2844	1261.9591	2.8919	1938.6942	4.3660	8183.9097	18.4302
JCVISYN3A_0438	hinT	Uncharacterized protein	CP016816.2	287815	288214	-	399	431.0501	4.0727	235.8950	2.2288	571.6416	53.7895	2413.1002	227.0643
JCVISYN3A_0439		Uncharacterized lipoprotein	CP016816.2	288216	290373	-	2157	3375.6898	12.0338	1847.3684	6.5856	162.9040	5.6027	687.6752	23.6509
JCVISYN3A_0440		Uncharacterized lipoprotein	CP016816.2	290372	293309	-	2937	2288.9251	18.6776	1252.6293	10.2214	227.4406	3.3565	960.1067	14.1689
JCVISYN3A_0441	iscS	Cysteine desulfurase	CP016816.2	293511	294750	+	1239	75.5876	20.4294	41.3658	11.1801	93.8297	6.5214	396.0882	27.5291
JCVISYN3A_0442	iscU	Iron-sulfur cluster assembly scaffold protein	CP016816.2	294752	295190	+	438	47.1438	8.1119	25.7998	4.4393	29.6279	2.9566	125.0696	12.4809
JCVISYN3A_0443	yggN	5-Formyltetrahydrofolate cyclo-ligase	CP016816.2	295182	295746	+	564	89.5124	2.9078	48.9863	1.5913	19.5957	0.5798	82.7205	2.4475
JCVISYN3A_0444		Uncharacterized peptidase	CP016816.2	295766	297662	+	1896	200.2959	1.8666	109.6132	1.0215	32.9668	0.6028	139.1643	2.5448
JCVISYN3A_0445	pgi	Glucose-6-phosphate isomerase	CP016816.2	297881	299165	+	1284	1432.1869	2.5428	783.7737	1.3916	315.4642	0.8107	1331.6852	3.4225
JCVISYN3A_0447	dut	dUTP diphosphatase	CP016816.2	299197	299701	+	504	1448.7143	2.5873	792.8184	1.4159	2040.8036	2.0397	8614.9493	8.6102
JCVISYN3A_0448		Uncharacterized rRNA methyltransferase	CP016816.2	299717	300485	+	768	1472.9935	3.6471	806.1054	1.9959	3099.7422	2.4297	13085.1014	10.2566
JCVISYN3A_0451	gapdh	Glyceraldehyde-3-phosphate dehydrogenase	CP016816.2	300655	302071	+	1416	1102.0092	2.2888	603.0818	1.2526	461.0049	0.3722	1946.0639	1.5711
JCVISYN3A_0452	parE	DNA topoisomerase IV subunit B	CP016816.2	302257	304189	+	1932	311.2516	19.0036	170.3345	10.3999	76.0673	3.0958	321.1068	13.0683
JCVISYN3A_0453	parC	DNA topoisomerase IV subunit A	CP016816.2	304190	306887	+	2697	235.1605	15.3804	128.6932	8.4170	78.8343	2.8487	332.7871	12.0255
JCVISYN3A_0475	ldh	L-lactate dehydrogenase	CP016816.2	307122	308079	-	957	26280.4148	21.0690	14382.1295	11.5301	3180.1014	1.8109	13424.3257	7.6443
JCVISYN3A_0478		Uncharacterized protein	CP016816.2	308181	308766	-	585	27.7299	1.7026	15.1754	0.9317	47.8239	7.2838	201.8816	30.7473
JCVISYN3A_0479		Uncharacterized peptidase	CP016816.2	308770	310417	-	1647	36.7923	4.5580	20.1349	2.4944	45.5835	18.3673	192.4239	77.5350
JCVISYN3A_0481		Uncharacterized lipoprotein	CP016816.2	310639	311077	-	438	500.8995	288.8311	274.1206	158.0647	67.4247	28.3836	284.6232	119.8170
JCVISYN3A_0482	rpsU	30S ribosomal protein S21	CP016816.2	311390	311555	+	165	1316.8303	21.0545	720.6440	11.5222	767.4788	14.0303	3239.7978	59.2268
JCVISYN3A_0154		Uncharacterized peptidase	CP016816.2	311815	313171	+	1356	3758.2212	163.1527	2056.7112	89.2864	675.0147	38.9425	2849.4745	164.3899
JCVISYN3A_0493		Uncharacterized peptidase	CP016816.2	313334	314684	-	1350	958.9963	3.8607	524.8170	2.1128	516.9837	1.3185	2182.3699	5.5659
JCVISYN3A_0494	nanE	N-acetylmannosamine-6-phosphate 2-epimerase	CP016816.2	314839	315520	-	681	55.9178	0.8987	30.6014	0.4918	65.7959	2.0132	277.7476	8.4985
JCVISYN3A_0495		Uncharacterized kinase	CP016816.2	315578	316454	-	876	121.4886	0.9874	66.4854	0.5404	317.8219	0.5422	1341.6380	2.2890
JCVISYN3A_0499	rpmA	50S ribosomal protein L27	CP016816.2	316628	316910	-	282	7830.4397	7.3546	4285.2595	4.0249	1139.5035	0.0000	4810.2450	0.0000
JCVISYN3A_0500	prp%3BysxB	Maturation protease for ribosomal protein L27	CP016816.2	316911	317226	-	315	5801.8444	12.1587	3175.0974	6.6539	1718.6698	0.3048	7255.1096	1.2865
JCVISYN3A_0501	rplU	50S ribosomal protein L21	CP016816.2	317228	317531	-	303	7986.8383	7.1716	4370.8497	3.9247	742.1716	0.5611	3132.9673	2.3684
JCVISYN3A_0503		Uncharacterized protein	CP016816.2	317676	318078	-	402	177.5199	0.8483	97.1489	0.4642	92.5124	0.0746	390.5275	0.3150
JCVISYN3A_0504	rsmI	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	CP016816.2	318100	318988	-	888	37.4234	1.7230	20.4802	0.9429	250.6757	1.3446	1058.1901	5.6760
JCVISYN3A_0930	rpmG	50S ribosomal protein L33	CP016816.2	319047	319191	-	144	5872.3403	17.2569	3213.6767	9.4440	420.7778	0.0625	1776.2509	0.2638
JCVISYN3A_0505		Uncharacterized lipoprotein	CP016816.2	319363	320437	+	1074	486.5615	9.6089	266.2739	5.2586	284.5447	0.6983	1201.1632	2.9479
JCVISYN3A_0506	tRNA-Leu		CP016816.2	320529	320618	-	89	5450.9551	8.6180	2983.0709	4.7162	541.2022	8.6067	2284.6049	36.3321
JCVISYN3A_0507	tRNA-Lys		CP016816.2	320628	320704	-	76	4068.2632	8.2500	2226.3837	4.5149	699.2237	11.8289	2951.6690	49.9341
JCVISYN3A_0508	tRNA-Gln		CP016816.2	320708	320783	-	75	6231.2000	8.3600	3410.0651	4.5751	824.0800	8.2133	3478.7314	34.6714
JCVISYN3A_0509	tRNA-Tyr		CP016816.2	320789	320873	-	84	8196.7262	16.6310	4485.7122	9.1014	588.6071	4.0238	2484.7177	16.9859
JCVISYN3A_0510	tRNA-Thr		CP016816.2	320879	320955	-	76	5538.9474	11.1053	3031.2253	6.0774	206.4342	3.9605	871.4314	16.7188
JCVISYN3A_0511		Uncharacterized protein	CP016816.2	321081	321705	-	624	155.9840	1.1090	85.3633	0.6069	530.2837	8.2596	2238.5137	34.8667
JCVISYN3A_0512	plsC	Acyl-phosphate glycerol 3-phosphate acyltransferase	CP016816.2	321753	322701	-	948	135.8133	0.6888	74.3247	0.3770	175.4156	3.1857	740.4910	13.4478
JCVISYN3A_0513	acpS	ACP synthase	CP016816.2	322857	323190	-	333	119.4985	2.0360	65.3963	1.1142	112.9610	0.8979	476.8479	3.7903
JCVISYN3A_0515	dctD	Cytidine deaminase	CP016816.2	323249	323732	-	483	776.4348	2.2526	424.9090	1.2327	186.6232	0.0000	787.8021	0.0000
JCVISYN3A_0516		Uncharacterized protein	CP016816.2	323734	325036	-	1302	487.8095	2.2343	266.9570	1.2227	190.4885	0.4816	804.1188	2.0329
JCVISYN3A_0517	rluD	Uncharacterized RNA pseudouridine synthase	CP016816.2	325028	325961	-	933	163.8800	3.7170	89.6844	2.0342	81.5188	1.9400	344.1193	8.1893
JCVISYN3A_0518	lspA	Lipoprotein signal peptidase	CP016816.2	325941	326550	-	609	178.3711	3.0115	97.6148	1.6481	54.4236	0.7915	229.7413	3.3410
JCVISYN3A_0519	ileRS	Isoleucine--tRNA ligase	CP016816.2	326540	329288	-	2748	184.6823	4.4767	101.0686	2.4499	20.3311	2.9039	85.8249	12.2585
JCVISYN3A_0520		Uncharacterized hydrolase	CP016816.2	329980	330970	-	990	909.3525	7.2263	497.6491	3.9546	542.4535	0.7172	2289.8871	3.0274
JCVISYN3A_0521	sepF	Cell division protein	CP016816.2	330982	331399	-	417	3345.2470	5.5204	1830.7084	3.0211	472.1990	2.4029	1993.3181	10.1434
JCVISYN3A_0522	ftsZ	Cell division protein	CP016816.2	331410	332568	-	1158	10011.2409	36.0751	5478.7173	19.7424	413.6459	7.9404	1746.1449	33.5193
JCVISYN3A_0523	ftsA	Cell division protein	CP016816.2	332682	333843	-	1161	52.4315	1.4031	28.6935	0.7679	61.4393	1.0525	259.3568	4.4431
JCVISYN3A_0524	rsmH%3B mraW	16S rRNA (cytosine(1402)-N(4))-methyltransferase	CP016816.2	333851	334778	-	927	124.3064	6.3010	68.0275	3.4482	167.8932	1.1197	708.7362	4.7268
JCVISYN3A_0525	mraZ	Cell division/cell wall cluster transcriptional repressor	CP016816.2	334786	335188	-	402	127.5871	3.9900	69.8229	2.1836	348.2985	0.8209	1470.2904	3.4653
JCVISYN3A_0526	rpmF	50S ribosomal protein L32	CP016816.2	335294	335474	-	180	9892.9556	13.8222	5413.9848	7.5643	1737.4056	0.0000	7334.1996	0.0000
JCVISYN3A_0527		Uncharacterized protein	CP016816.2	335488	336007	-	519	1913.0405	2.4239	1046.9239	1.3265	774.7033	0.0000	3270.2949	0.0000
JCVISYN3A_0528	pheRS	Phenylalanine--tRNA ligase subunit beta	CP016816.2	336006	338391	-	2385	628.9765	1.3539	344.2115	0.7409	268.9136	0.9723	1135.1790	4.1045
JCVISYN3A_0529	pheS	Phenylalanine--tRNA ligase subunit alpha	CP016816.2	338399	339452	-	1053	1576.7236	3.8243	862.8724	2.0929	764.9639	1.0323	3229.1816	4.3577
JCVISYN3A_0530		Uncharacterized protein	CP016816.2	339481	340090	-	609	250.4778	0.7586	137.0756	0.4152	359.9836	0.5320	1519.6172	2.2458
JCVISYN3A_0532	rrfB		CP016816.2	340213	340322	-	109	47043.1743	288.6055	25744.6858	157.9413	38.3119	0.3119	161.7281	1.3168
JCVISYN3A_0533	rrlB		CP016816.2	340383	343297	-	2914	10263.3387	122.0800	5616.6794	66.8091	111.9468	0.9228	472.5668	3.8954
JCVISYN3A_0534	rrsB		CP016816.2	343516	345051	-	1535	21109.4332	113.7577	11552.2758	62.2546	97.5674	0.1915	411.8664	0.8085
JCVISYN3A_0535	argRS	Arginine--tRNA ligase	CP016816.2	345257	346922	-	1665	331.6228	1.3886	181.4828	0.7599	128.1748	0.3880	541.0708	1.6378
JCVISYN3A_0536	frr	Ribosome recycling factor	CP016816.2	346923	347472	-	549	745.5628	3.0729	408.0142	1.6816	80.4189	0.0000	339.4766	0.0000
JCVISYN3A_0537	pyrH	UMP kinase	CP016816.2	347482	348196	-	714	1021.9566	6.0756	559.2724	3.3249	62.4566	1.3039	263.6512	5.5043
JCVISYN3A_0538		Uncharacterized protein	CP016816.2	348329	348935	-	606	770.0512	0.7657	421.4155	0.4190	614.1667	1.4076	2592.6134	5.9419
JCVISYN3A_0539	tsf	Translation elongation factor Ts	CP016816.2	348934	349822	-	888	2882.9865	3.5743	1577.7333	1.9561	430.3604	1.2962	1816.7024	5.4716
JCVISYN3A_0540	rpsB	30S ribosomal protein S2	CP016816.2	349833	350712	-	879	4421.2810	5.5142	2419.5750	3.0177	240.7452	0.0000	1016.2700	0.0000
JCVISYN3A_0541	dnaJ	Molecular chaperone	CP016816.2	350919	352038	-	1119	772.0438	1.6345	422.5060	0.8945	250.0545	0.1349	1055.5680	0.5696
JCVISYN3A_0542	dnaK	Molecular chaperone	CP016816.2	352101	353877	-	1776	1930.3024	2.9955	1056.3706	1.6393	231.9544	0.4904	979.1610	2.0703
JCVISYN3A_0543	grpE	Nucleotide exchange factor	CP016816.2	353935	354538	-	603	173.4776	1.8839	94.9368	1.0310	306.4428	0.0000	1293.6027	0.0000
JCVISYN3A_0544	hrcA	Heat-inducible transcription repressor	CP016816.2	354539	355562	-	1023	116.6178	0.5982	63.8199	0.3274	388.3490	0.0000	1639.3575	0.0000
JCVISYN3A_0545	clpB	ATP-dependent Clp protease subunit B	CP016816.2	355566	357708	-	2142	659.5710	2.2871	360.9545	1.2516	791.9627	0.0000	3343.1528	0.0000
JCVISYN3A_0546			CP016816.2	357870	358736	-	866	840.3753	1.1178	459.9009	0.6117	1455.7309	0.2367	6145.1521	0.9993
JCVISYN3A_0548		tRNA (cytidine(34)-2'-O)-methyltransferase	CP016816.2	358735	359281	-	546	642.0513	1.4945	351.3668	0.8179	297.9377	1.5806	1257.6999	6.6722
JCVISYN3A_0549	rgdB	Non-canonical purine NTP pyrophosphatase	CP016816.2	359293	359896	-	603	97.8939	2.7297	53.5731	1.4938	183.7264	2.1891	775.5736	9.2408
JCVISYN3A_0931	met14p	Adenylyl-sulfate kinase	CP016816.2	360402	361011	+	609	17764.2923	330.7192	9721.6255	180.9883	251.2332	107.2069	1060.5435	452.5580
